text,coarse label
"Vad är ""daggpunkt""?",DESC
Vad är meningen med Jesus?,DESC
"Vilket företags logotyp är ett ""W"" i en cirkel?",HUM
Vad är definitionen av en kaskad?,DESC
När blomstrade rokokomålning och arkitektur?,NUM
Vilket lands nationella passagerartågsystem kallas Via?,LOC
Vem uppfann smink?,HUM
"Vad är ursprunget till ordet ""vinden""?",DESC
Vad gjorde Delila med Samsons hår?,DESC
Vilken typ av djur levde i den paleozoiska eran?,ENTY
Vilket av följande var Rhodes Scholar?,HUM
Vem utgjorde det nu nedlagda serietidningslaget känt som Champions?,HUM
Hur gör man en paintball?,DESC
Vilken stat i USA ligger Fort Knox i?,LOC
Vad kallas en kaninhona?,ENTY
Var är den högsta punkten i Japan?,LOC
Var kommer chihuahuas ifrån?,DESC
"Var går Barney Rubble till jobbet efter att han släppt Fred i den tecknade serien ""Flintstones""?",LOC
Vilka är världens fyra hav?,LOC
Vilket är det enda verket av Michelangelo som bär hans signatur?,ENTY
Vilken är den största ormen i världen?,ENTY
I vilket medium anses Stuart Hamblen vara den första sjungande cowboyen?,ENTY
Var på internet kan jag hitta en sångtextdatabas liknande International Lyrics Server?,LOC
Hur mycket pengar kan man få för en stämning för ryggskada?,NUM
Vad är det vanliga namnet på acetylsalicylsyra?,ENTY
"Vad betyder Georgetown ""Hoya""?",DESC
"Var kan jag hitta en lista över ""klassiska"" böcker som ska läsas i femte och sjätte klass?",LOC
Vilka två produkter använder en tiger som symbol?,ENTY
Hur tillkännages världen till valet av en ny påve?,DESC
Hur lång tid tar det för ditt blod att göra en hel resa genom kroppen?,NUM
Hur föder hönor kycklingar?,DESC
Vad är det historiska förhållandet mellan katolska kyrkan och bingo?,DESC
Hur namngavs grundämnet kalcium?,DESC
Vilken crooner gick med i Andrews Sisters som Pistol Packin Mama?,HUM
"Vilket pianoföretag hävdar att dess produkt är ""De odödligas instrument""?",HUM
När ägde Bounty-myteriet rum?,NUM
Vilken roman inspirerade filmen BladeRunner?,ENTY
Vad är en transistor?,DESC
Vad är en film med Jude Law i huvudrollen?,ENTY
Vilken Hollywood-hund dog i armarna på Jean Harlow år 1932?,ENTY
Vilka är de vanligaste elementen i jordskorpan?,ENTY
Hur mycket skulle det kosta att köpa ett partytält på 2 meter| med sidor?,NUM
Vilken skådespelerska har fått flest Oscar-nomineringar?,HUM
Vad är aktier?,DESC
Vad är gymnofobi?,DESC
Hur många år tar det för fossiler att bildas?,NUM
Var är Orinoco?,LOC
"Vad hette ""Little Rascals"" hunden?",ENTY
Vilken stad har Penn's Landing| vid floden Delaware?,LOC
Vilken Broadway-musikal inspirerades av Cervantes Don Quijote?,ENTY
Vad är ursprunget av ordet katt?,DESC
Hur många gisslan dödades i Entebbe-razzian?,NUM
Hur kan man höja sin IQ?,DESC
Vad står INRI för när det används på Jesu kors?,ABBR
Vem producerar Spumante?,HUM
Vilka tjänar sina pengar på det hårda sättet?,HUM
Vem grundade Folkets tempel?,HUM
Vilken idrottare tjänar mest pengar på försäljning av sportvaror?,HUM
Hur många böjningar finns det på ett vanligt gem?,NUM
Vem upptäckte el?,HUM
Vilken del av din kropp innehåller corpus callosum?,ENTY
Vem var den första amerikanen i rymden?,HUM
Vilka två sydamerikanska länder gränsar inte till Brasilien?,LOC
Vilket album satte Beatles på omslaget till Time 1967?,ENTY
"Vilken dikt innehåller raden """"bli gammal hos mig| det bästa är ännu""""?",ENTY
Vad är en tandrotkanal?,DESC
Vilket krig inträffade Wanna-Go-Home-upploppen efter?,ENTY
Vilken är den aktivaste flygsäsongen?,NUM
Vad heter den färgade delen av ögat?,ENTY
Vad är krokmaskar?,DESC
Var spelas Rose Bowl?,LOC
Vilken japansk biltillverkare hade sin största försäljningsandel på hemmamarknaden?,HUM
Vem är borgmästaren i Marbella?,HUM
Vilken solblästrad| 14 mil bred dal ligger strax norr om Mojaveöknen?,LOC
Vilket år blev Thatcher premiärminister?,NUM
Hur många månader tar det månen att kretsa runt jorden?,NUM
Var är de 49 stegen?,LOC
Vilket år valdes De Gaulle till Frankrikes president?,NUM
"Vem sjunger temat för ""Dawson's Creek"" och ""Felicity""?",HUM
"Vem regisserade ""Jaws""?",HUM
På vilket TV-program kunde Tom Terrific hittas?,ENTY
Vilken indianstam kämpar F-Troop ständigt mot?,HUM
"Var kom ""Indian Pudding"" ifrån?",DESC
"Varför säger vissa klädmärken ""Använd ett icke-klor-blekmedel""?",DESC
Hur många kolonier var inblandade i den amerikanska revolutionen?,NUM
Vad heter staden som Maurizio Pellegrin bor i?,LOC
Var kan jag hitta bildanvisningar för hur man bygger ett mycket enkelt trädhus?,LOC
Vilket spelbräde visar Irkutsk| Yakutsk och Kamchatka som territorier?,ENTY
Vad heter den verkställande direktören för Apricot Computer?,HUM
Vad är jobbar Nicholas Cage med?,HUM
Varför ger hästskor tur?,DESC
Vad är 401-K planen?,DESC
Vad orsakar lunginflammation?,DESC
Vilka är de tre vintermånaderna på södra halvklotet?,NUM
Vad betyder gringo?,DESC
Vilket land innehåller Afrikas nordligaste punkt?,LOC
"Vilken terapi försöker framkalla ""urskriket""?",ENTY
Var ligger Kalahari-öknen?,LOC
Vilken polisavdelning i Ventura County beslagtog den största kokaintransporten i dess historia?,HUM
Vilken stad kallas ibland Gotham?,LOC
Vad dinglar över tungan från gommen?,ENTY
Vem skapade Dennis the Menace?,HUM
Vilken dummer fick en hedersexamen från Northwestern University?,HUM
När publicerades den första Wall Street Journal?,NUM
Vilka länder har de största skogsområdena?,LOC
Hur startar jag ett webbaserat företag?,DESC
Namnge Alvins bröder.,HUM
Vad är Styloidprocessen för Eagle syndrom?,DESC
Hur dog Jayne Mansfield?,DESC
När ägde prins Andrew och Fergies kungliga bröllop rum?,NUM
"Vilken skådespelare sa i A Day at the Races: ""Antingen är han död eller så har min klocka stannat""?",HUM
Vilken upptäcktsresande fick smeknamnet Iberias pilot?,HUM
CNN började sända under vilket år?,NUM
Vad heter en boll som träffar foul pole?,ENTY
Vad får hamburgare att smaka som hamburgare?,DESC
Vilket företag skapade webbläsaren Mosaic?,HUM
Vad kallas ritualerna för omskärelsen av ett nyfött barn i judendomen?,ENTY
Vad var utbildningssystemet på 1960-talet?,ENTY
Vilken sydamerikansk stad har världens högsta kommersiella landningsfält?,LOC
Hur kan jag ta reda på vilka städer som har kabelmodemåtkomst?,DESC
Vad är Betsy Ross känd för?,DESC
Hur många hajarter finns det?,NUM
"Vad är ""snoogans""?",DESC
Hur många människor finns det i världen?,NUM
Vilka buskar kan planteras som är säkra från rådjur?,ENTY
Vilka organisationers kontor bröts in vid Watergate år 1972?,HUM
Vad är designen för fartyget Titanic?,DESC
Vad står SOS för?,ABBR
Namnge en teknik som ofta används för att upptäcka fosterskador?,ENTY
Vad är det dagliga behovet av folsyra för en blivande mamma?,DESC
"Vad är ""7-minuters cigarett""?",DESC
Vilka fyra former förekommer guld i?,ENTY
Vad är arean av vingården Chappellet?,NUM
"Hur säger man ordet ""qigong"" korrekt?",DESC
När dog Beethoven?,NUM
Hur mycket kostar en ny järnvägskolbil?,NUM
Vilka två europeiska länder gick in i amerikanska självständighetskriget mot britterna?,LOC
Vad är filmskaparnas samarbete?,DESC
Vilken rysk kompositörs Preludie i C Sharp Minor gav honom berömmelse och förmögenhet?,HUM
Vad orsakade Harry Houdinis död?,DESC
Vem var mor till mannen som inte skulle bli kung| hertigen av Windsor?,HUM
Hur många varv gör en vanlig LP-skiva på tre minuter?,NUM
Vad heter det högsta berget i världen?,LOC
Var kan jag hitta en recension av Nightmare on Elm Street i en filmjournal?,LOC
Vad är det långsammaste olympiska simningssättet?,ENTY
Vad hette den första ryska astronauten som gjorde en rymdpromenad?,HUM
Vilken sjukdom överförs av myggan Anopheles?,ENTY
"Vilket rom är så ""blandbart"" att det är en ""bar med ett enda märke""?",ENTY
Hur många sydamerikanska länder har bokstaven Z i sina namn?,NUM
Vad är innehållet i proposition 98?,DESC
Var föddes George Washington?,LOC
Hur många människor på marken dödades från bombningen av Pan Am Flight 103 över Lockerbie| Skottland| 21 december?,NUM
"Vem skrev ""To Kill a Mockingbird""?",HUM
Vad är paracetamol?,DESC
Vilka är krafterna och svagheterna i Green Lantern's ring?,DESC
Vilken mygga suger blod och överför malaria?,ENTY
När byggdes det första stålverket i USA?,NUM
Vilken diminutiv amerikansk gymnast stal showen vid OS 1984?,HUM
Vad är ursprunget till namnet Katie?,DESC
Vilka skolor i Washington har vunnit pris för bästa skola?,HUM
När upprättades Berlinmuren?,NUM
Vem är Terrence Malick?,HUM
Vilket instrument är Ray Charles mest känd för att spela?,ENTY
Vad betyder det latinska stridsropet: Ad arma| ad arma?,DESC
Vilken är maskoten för Notre Dame University?,ENTY
Vilket hotell i Las Vegas brann i november| 1980| med förlusten av 84 personers liv?,LOC
När fick Mount St. Helen senast ett betydande utbrott?,NUM
CNN är förkortningen för vad?,ABBR
När började första världskriget?,NUM
Hur många fot är det på en famn?,NUM
Vad är ett Kanada två-öre?,DESC
Vilken europeisk stad bor Nicois i?,LOC
Hur kan jag ta reda på vilket år en viss Beanie Baby introducerades?,DESC
Vad är den klassiska definitionen av en tragisk hjälte?,DESC
Till vad är Microsofts Windows 3 skyldig sin framgång?,ENTY
Vem var Afghanistans president år 1994?,HUM
Vilka är andra sätt att få bristningar förutom graviditet| viktminskning| och tyngdlyftning?,ENTY
Vad åt brontosaurus?,ENTY
Vilka färger på flaskor kommer bra Rhine-viner i?,ENTY
"Vem var huvudskådespelerskan i filmen ""Sleepless in Seattle""?",HUM
Vem var USA:s 16:e president?,HUM
Vilka är de två sönerna till Ozzie och Harriet Nelson?,HUM
Vad är molybden?,DESC
När infaller Boxing Day?,NUM
Vilken är den lägsta nivån i det amerikanska rättsväsendet?,ENTY
När utkämpades slaget vid Somme?,NUM
Hur många människor dödade Randy Craft?,NUM
Vilket är Kanadas officiella djur?,ENTY
"När regisserade Spielberg ""Jaws""?",NUM
Hur stor är den största akita?,NUM
Vilket djur har de största ögonen?,ENTY
Vad är Kaliforniens huvudstad?,LOC
"Vem var författaren till boken om datorhackare som heter ""The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Spionage""?",HUM
Vem var grundaren till Pink Floyd-bandet?,HUM
Vilket europeiskt land är hem till den ölproducerande staden Budweis?,LOC
Hur hittar jag saldot på mitt socialförsäkringskonto?,DESC
Vad är historien om alla hjärtans dags-kort?,DESC
Var föddes Christopher Columbus?,LOC
Vad kallar italienarna Florens?,ENTY
Hur kommer man till toppen av Eiffeltornet?,DESC
"Vad står ""PSI"" för?",ABBR
Vilket hav kallade romarna mare nostrum?,LOC
Vad är ordet för en satsning innan kort delats ut?,ENTY
Vilket kom först enligt 1 Mosebok 1:2:22 - kycklingen eller ägget?,ENTY
Vilken stad bodde Flintstones i?,LOC
Vad är latin för inkompetent?,ENTY
Vilka kemikalier används vid dödlig injektion?,ENTY
Vilket leksaksföretag är världens främsta tillverkare av kvinnliga kläder?,HUM
"Vilket brädspel spelar en ""wood-pusher"" dåligt?",ENTY
Vilken Doonesburykaraktär skulle sannolikt förvandlas till en varulv?,HUM
Vad är förkortningen för mikro?,ABBR
Vilka är de sju artiklarna i konstitutionen?,ENTY
Vem har vunnit flest Super Bowls?,HUM
Vad står NASDAQ för?,ABBR
Vad är BPH?,ABBR
Vilken är den snabbaste kommersiella bilen som kan köpas i USA?,ENTY
På vilken arena spelar Miami Dolphins sina hemmamatcher?,LOC
"Vem har den enda talarrollen i ""Silent Movie""?",HUM
Varför är bajs ibland olika färger?,DESC
Vad var Einsteins IQ?,NUM
Vilken dag attackerades Pearl Harbor år 1942?,NUM
"Vilket tjejnamn är ""Teddy"" en tillgiven form av?",HUM
Vilken stat är John F. Kennedy begravd i?,LOC
Vilket är det bästa sättet att ta bort tapeter?,ENTY
Vilken amerikansk stat har ett element namngivet efter sig?,LOC
Vilket företag presenterar vinnarna i omröstningen om Oscar-utmärkelsen?,HUM
Hur började traditionen med bröllopsmarskalk?,DESC
Hur många år sedan sjönk fartyget Titanic?,NUM
Vad är det djupaste området i Arktiska havet?,LOC
Vilka är Halloweens färger?,ENTY
Hur görs silkescreening?,DESC
Vad är latitud och longitud för El Paso| Texas?,NUM
Vem gjorde en båt av gopher trä?,HUM
"Var kan jag hitta en ""Fifth Element"" skärmsläckare?",LOC
Vem bosatt i Bloom County gör kaos med en dator?,HUM
Hur matchar du ett namn till ett personnummer?,DESC
Hur bildas en regnbåge?,DESC
Vad är den normala vilopulsen hos en frisk vuxen?,NUM
Vad är befolkningen i Ohio?,NUM
Hur många kalorier finns det i en Big Mac?,NUM
Hazmat står för vad?,DESC
"Vilken varelse skrämmer människor i filmen ""Jaws""?",ENTY
Vilken roll spelade John Peter Zenger i utvecklingen av tidningen i Amerika?,HUM
Vem följde Caesar?,HUM
Vilka är de fyra elementen?,ENTY
Vem var den första kvinnliga golfaren som tjänade en miljon?,HUM
Vilken är den längsta pjäsen på ett schackbräde?,ENTY
Vad är Answers.coms adress?,LOC
Var kan jag köpa filmer på videoband online?,LOC
Vem annonserar för Frito-Lay?,HUM
Vem är den ledande konkurrenten för Trans Union Company?,HUM
Vilken produkt utmanade Robert Conrad folk att slå av hans axel?,ENTY
Vem uppfann radion?,HUM
Vad motsvarar den amerikanska dollarn 8 pund i Storbritannien?,NUM
Vilka är de olika metoderna för systemanalys?,ENTY
Hur diagnostiserar läkare bencancer?,DESC
Vem är mannen bakom grisen - mannen som drar i trådarna och talar för Miss Piggy?,HUM
Vad är Mississippiflodens hastighet?,NUM
Vilka är utvecklingsstadierna för en simmare?,ENTY
Vilken skådespelare skildrade först James Bond?,HUM
Vilket hav är det största i världen?,LOC
Vem var den första amerikanska poeten som vann Nobelpriset för litteratur 1948?,HUM
Vilket år deltog Jack Nicklaus i Professional Golfers Association-turnén?,NUM
Hur många sonetter skrev Shakespeare?,NUM
Vad orsakar färger i dina kinder när du rodnar?,DESC
Vem vann Nobels fredspris år 1991?,HUM
Vilka är de okändas utmanare?,HUM
Definiera Pheonix Club?,DESC
Vilken stad kämpade kristna korsfarare för att återta från muslimerna?,LOC
"Vad betyder ""Rupie depreciates""?",DESC
"Vilka spelanordningar kallades ""Mississippi-marbles"" och ""Memphis dominoes""?",ENTY
Vem var Cleveland Browns första tränare?,HUM
Hur framgångsrikt är aromterapi?,DESC
Vilken judisk helgdag startade Mellanösternkriget 1973?,ENTY
Hur fungerar en kopiator?,DESC
Vad är Mississippiflodens hastighet?,NUM
"Vem sa om Super Bowl III 1969: ""Vi vinner - jag garanterar det""?",HUM
Vad heter Dudley Do-Rights häst?,ENTY
"Vem förklarade: ""Jag tycker om horor och jag kan inte sluta""?",HUM
Var kommer choklad ifrån?,LOC
Vilket TV-program såg en tävlande en gång erkänna att han klipper tånaglarna i duschen?,ENTY
Vilken sovjetisk ledare ägde en Rolls-Royce?,HUM
Var kan jag hitta ett ärende om lagen om personer med funktionshinderutbildning från 1991?,LOC
Vilket krig skötte Florence Nightingale trupperna i?,ENTY
"Vem skrev låten ""Stardust""?",HUM
Hur många Beatles skivor blev nummer 1?,NUM
Vem är den enda statsministern i Kanada som tjänade 22 år men inte nödvändigtvis i följd?,HUM
"Vad är förkortningen av företagsnamnet ""General Motors""?",ABBR
Vilka berg ligger mellan floderna Arkansas och Missouri?,LOC
Vem fick Will Rogers Award år 1989?,HUM
Vilken funktion har RAM?,DESC
Vilken är den närmaste G2 Spectrum Yellow Dwarf till jorden?,LOC
Hur många lika vinklar finns det i en likbent triangel?,NUM
Vad kallas rädslan för kackerlackor?,ENTY
Vilken CBS-såpopera avbröts av bulletinen om John F. Kennedys mördande?,ENTY
Vad är nyttan av en 24-timmarsur istället för en 12-timmarsur?,DESC
Vad hette advokaten som representerade Randy Craft?,HUM
Vilken USA:s president drömde om att han mördades?,HUM
Vilken film vann Lee Marvin 1965 Oscar för bästa skådespelare?,ENTY
Var ligger Baskien?,LOC
"Vilken produkt marknadsför ""Mrs. Olsen""?",ENTY
Vilken tid på dagen dog kejsaren Hirohito?,NUM
Vad är torris?,DESC
Vilket är det mest kraftfulla kortet i Euchre?,ENTY
"Vad betyder ""intractable plantar keratoma""?",DESC
Hur många år tog det James Joyce att skriva Ulysses?,NUM
Vilket skördefel orsakade den irländska hungersnöden?,ENTY
Vilken sydkoreansk stad betjänas av Kimpo International Airport?,LOC
Hur många typer av hundsvansar finns det - tre?,NUM
Vilken är den längsta tv-serien?,ENTY
Vilka rovdjur finns på Antarktis?,ENTY
Vad är skillnaden mellan en generator och en omformare?,DESC
Hur skapas energi?,DESC
"Vilken öl annonserade att den hade ""tre ringar""?",ENTY
Vad är mängden amerikanska soldater som fortfarande inte redovisas från Vietnamkriget?,NUM
Vilket golftillbehör patenterades av George Grant den 12 december?,ENTY
Vilka är de olika plasttyperna?,ENTY
"Hur är det korrekt att säga ""qigong""?",DESC
Vad var det högsta berget på jorden innan Mount Everest upptäcktes?,LOC
Var var den liguriska republiken?,LOC
Vilket lands folk är de bästa tv-tittarna?,LOC
När ratificerades kvinnors rösträtt?,NUM
Vilka polynesiska människor bor i Nya Zeeland?,HUM
"Vilken filmresa i det romerska imperiet har förmaningen: ""Må bra och lev""?",ENTY
Vilket centrum i Nevada har kallats The Biggest Little City in the World?,LOC
Vilken president bodde på 219 North Delaware Street| Independence| Missouri?,HUM
"""Ange en anledning till att amerikanska indianer ofta hoppar av skolan.",DESC
Var måste en fotbollsmålvakt stå för att få hantera bollen med händerna?,LOC
Vad är skillnaden mellan klassisk konditionering och operant konditionering?,DESC
I vilken amerikansk stat valdes den första kvinnliga guvernören?,LOC
Vad är några intressanta fakta och information om hundspann?,DESC
Vilket år dog Hitler?,NUM
Vilken berömd modell var gift med Billy Joel?,HUM
Vilken typ av djur är Babar?,ENTY
Vad är Jane Goodall känt för?,DESC
Vad dödade Bob Marley?,ENTY
Hur mycket pengar är Dumbos öron försäkrade för?,NUM
Vem dansade till berömmelse med Fred Astaire i Youll Never Get Rich år 1941?,HUM
Vem är Stein Eriksen?,HUM
Vad betyder namnet Billie?,DESC
Vem är världens snabbaste simmare?,HUM
Vilken är den högsta toppen i Afrika?,LOC
Var har Procter & Gamble sitt huvudkontor i USA?,LOC
Vilken öken har kallats Allahs trädgård?,LOC
Vad har bikornade djur två av?,ENTY
Vilken funktion har ett samhälles vattentorn?,DESC
Vad är en rädsla för svaghet?,ENTY
Hur många mil är det till Ohio från North Carolina?,NUM
Hur mycket snö motsvarar ett tum regn?,NUM
Vad står GMT för?,ABBR
Vad betyder Inuit och Eskimå?,DESC
Vilken låt fungerade som avslutande tema för The Johnny Cash Show?,ENTY
Vilken fältsport främjade tandläkaren William Beers och skrev en standardbok med regler för?,ENTY
Hur knytfärgar jag kläder?,DESC
När har den genomsnittliga tonåringen först samlag?,NUM
Varför har www.answers.com inga svar på mina frågor?,DESC
Vilken skådespelares självbiografi heter All My Yesterdays?,HUM
Vilken rysk mästarspion bodde i USA under namnet Emil Goldfus?,HUM
Var är det 19:e hålet på en golfbana?,LOC
Vad är naturens syfte med tornados?,DESC
Vilka spelade de ursprungliga Charlie's Angels?,HUM
Var kan jag hitta en persons adress från ett telefonnummer?,LOC
Vilket engelskt ord kommer från  gammelfranskans covrefeu| som betyder täcka eld?,ENTY
Vilket musikinstrument spelade Prewitt i James Jones From Here to Eternity?,ENTY
Var fick Sarge Steel sin metallhand?,LOC
Vad får popcorn att poppa?,DESC
Vem skrev The Night of the Iguana?,HUM
Var växer ditt hår snabbast?,ENTY
I vilket land regerade kung Gustav V?,LOC
Vem målade Mother and Child?,HUM
Vad är Mississippiflodens hastighet?,NUM
I vilket område i världen utkämpades sexdagarskriget?,LOC
Vilken är den ljusaste stjärnan som är synlig från jorden?,LOC
Vilken film markerade Robert Redfords regiedebut?,ENTY
Vad var Maos andra namn?,HUM
Vilken eller vilka filmer har Jude Law medverkat i?,ENTY
Var bor hyener?,LOC
"Vem är ""Queen Mother""?",HUM
Vad är det vanligaste språket i Belgien?,ENTY
Vem har mer DNA - en man eller en kvinna?,HUM
Vad är Maid-Rites?,DESC
"Vilken barnberättelse innehåller raden: ""Come and hold this skein of wool for me""?",ENTY
Vilken nivå på regeringen eller myndigheten är ansvarig för att hantera rasism?,HUM
Hur många domare arbetar en fotbollsmatch?,NUM
Vilken cocktail blandar du ihop med whisky och söt vermouth?,ENTY
"Hur säger man ""färsk"" på spanska?",ENTY
Vad gör bikupor i tranbärsmyrar?,DESC
Vad orsakade Lynmouthöversvämningarna?,DESC
När är tulpanfestivalen i Michigan?,NUM
Vem kom på namnet El Nino?,HUM
Vilken film spelade Madilyn Kahn med Gene Wilder?,ENTY
Vilken typ av bro är Golden Gate Bridge?,ENTY
"Vilken diktator har smeknamnet ""El Maximo""?",HUM
"Vilken stereotillverkare är ""något före sin tid""?",HUM
Vilken amerikansk stad är Drottningen av Stilla havet?,LOC
Vilken TV-sitcom-karaktär hade flicknamnet Ethel Potter?,HUM
Vad var den första Lifesaver-smaken?,ENTY
Vem förde den mest kända dagboken?,HUM
Var kan jag hitta de bästa singlarna?,LOC
Hur många grader svalare är gurkans insida än luften utanför?,NUM
Vilken spansk konstnär målade korsfästelsen?,HUM
Vad heter den judiska bibeln?,ENTY
Varför är gräset grönt?,DESC
Vad är en brandvägg?,DESC
Vilken spionförfattare var Moskva-korrespondent för Reuter och The Times of London?,HUM
"Vilket oljebolag valde nästan ett ord som innebar ""stoppad bil"" på japanska som sitt nya internationella namn?",HUM
Hur lång tid tar det för spindelmannens spindelnät att avdunsta?,NUM
Vem var Randy Steven Crafts advokat?,HUM
Vad var känt som Spice Island?,LOC
Vem är världsmästare i schack?,HUM
Namnge den Ranger som alltid var efter Yogi Bear.,HUM
Vilken kortlek inkluderar Wheel of Fortune| The Lovers| och Death?,ENTY
Vad bär Frihetsgudinnan på fötterna?,ENTY
Vem är hyrbilarnas superstjärna?,HUM
McCarren Airport ligger i vilken stad?,LOC
Vilken hushållsanläggning innehåller en flottörkula| kulkran och överströmningsrör?,ENTY
Vad hette Betty Boops hund?,ENTY
Hur stor del av en bävers liv spenderas i simning?,NUM
Vad var bron av San Luis Rey gjord av?,ENTY
Vad gör ekonomer?,DESC
Vilket land har den största fårpopulationen?,LOC
Vad behöver jag göra för att ta min hund med mig för att bo i Dominica| Västindien i ett år?,DESC
Vilket land är världens största importör av cognac?,LOC
Hur många år är Johnnie Walker Black Label lagrad?,NUM
Vad står SIDS för?,ABBR
Vad är Grenadas huvudsakliga råvaruexport?,ENTY
Hur mycket skulle ett svartvitt 1-cent-frimärke vara värd| med Thomas Jefferson på den?,NUM
Vad gör en klitoris känslig?,DESC
Vilket land har flest tidszoner| med 11?,LOC
"Vilken ""magi"" använder Mandrake?",ENTY
Vem är president för Stanford University?,HUM
"Vems första presidentorder var: ""Låt oss få den här jävla saken i luften""?",HUM
Vad introducerades kommersiellt av Bayer AG i Leverkusen 1899?,ENTY
Vilken stad ligger Logan Airport i?,LOC
Vad är en nanometer?,DESC
Hur många innings spelar man under en basebollmatch?,NUM
När gick CNN i sändning?,NUM
Vad är den största staden på de stora sjöarna?,LOC
