text,verbose label,coarse label,fine label
"Vilken stad har det äldsta förhållandet som systerstad med Los Angeles?",LOC:city,0,32
"Vad är en kaldera?",DESC:def,2,2
"Varför får folk valkar?",DESC:reason,2,5
"Vad heter turistattraktionerna i Reims?",LOC:other,0,35
"Vad är Cushman och Wakefield kända för?",DESC:reason,2,5
"Vilken vattenmassa flyter Donaufloden ut i?",LOC:other,0,35
"Vem är grundaren av Scientology?",HUM:ind,1,30
"Vad blir den sexfotiga Musca domestica när den går in i ett hus?",ENTY:other,3,17
"Vad är historien om skateboarden?",DESC:desc,2,3
"Vem skådespelade i Singing in the Rain och The Singing Nun?",HUM:ind,1,30
"Hur gör jag bränsletegel från återvunnen tidningspapper?",DESC:manner,2,4
"Vilken målare från 1800-talet dog på Marquesasöarna?",HUM:ind,1,30
"Corpus callosum finns i vilken del av kroppen?",ENTY:body,3,7
"Hur loggar jag in på startsidan för huvudkontoret av US European Command?",DESC:manner,2,4
"Vilket land ockuperade nazisterna först?",LOC:country,0,33
"Vad är Nebraskas mest värdefulla resurs?",ENTY:other,3,17
"Hur många arter av den stora vithajen finns det?",NUM:count,5,38
"Vad är huvudlössens ursprung?",DESC:desc,2,3
"Vad är smeknamnet för staten Mississippi?",LOC:state,0,36
"Vilken var den första tama fågeln?",ENTY:animal,3,6
"Hur många villi finns i tunntarmen?",NUM:count,5,38
"Vilket land styrde kung Wenceslas?",LOC:country,0,33
"Vad är en rädsla för skuggor?",ENTY:dismed,3,11
"Vilka var de fem Marx-bröderna?",HUM:ind,1,30
"Vilket år uteslöts Nya Zeeland från ANZUS-alliansen?",NUM:date,5,39
"När började CNN sända?",NUM:date,5,39
"Vad får kroppen att skaka i kalla temperaturer?",DESC:reason,2,5
"Vad är björn- och tjurmarknader?",DESC:def,2,2
"Vilken JRR Tolkien-bok har Bilbo Baggins som den centrala karaktären?",ENTY:cremat,3,9
"Vad är "daggpunkt"?",DESC:def,2,2
"Vad är meningen med Jesus?",DESC:def,2,2
"Vilket företags logotyp är ett "W" i en cirkel?",HUM:gr,1,29
"Vad är definitionen av en kaskad?",DESC:def,2,2
"När blomstrade rokokomålning och arkitektur?",NUM:date,5,39
"Vilket lands nationella passagerartågsystem kallas Via?",LOC:country,0,33
"Vem uppfann smink?",HUM:ind,1,30
"Vad är ursprunget till ordet "vinden"?",DESC:desc,2,3
"Vad gjorde Delila med Samsons hår?",DESC:desc,2,3
"Vilken typ av djur levde i den paleozoiska eran?",ENTY:animal,3,6
"Vilket av följande var Rhodes Scholar?",HUM:ind,1,30
"Vem utgjorde det nu nedlagda serietidningslaget känt som Champions?",HUM:ind,1,30
"Hur gör man en paintball?",DESC:manner,2,4
"Vilken stat i USA ligger Fort Knox i?",LOC:state,0,36
"Vad kallas en kaninhona?",ENTY:animal,3,6
"Var är den högsta punkten i Japan?",LOC:mount,0,34
"Var kommer chihuahuas ifrån?",DESC:desc,2,3
"Var går Barney Rubble till jobbet efter att han släppt Fred i den tecknade serien "Flintstones"?",LOC:other,0,35
"Vilka är världens fyra hav?",LOC:other,0,35
"Vilket är det enda verket av Michelangelo som bär hans signatur?",ENTY:cremat,3,9
"Vilken är den största ormen i världen?",ENTY:animal,3,6
"I vilket medium anses Stuart Hamblen vara den första sjungande cowboyen?",ENTY:cremat,3,9
"Var på internet kan jag hitta en sångtextdatabas liknande International Lyrics Server?",LOC:other,0,35
"Hur mycket pengar kan man få för en stämning för ryggskada?",NUM:money,5,41
"Vad är det vanliga namnet på acetylsalicylsyra?",ENTY:termeq,3,25
"Vad betyder Georgetown "Hoya"?",DESC:def,2,2
"Var kan jag hitta en lista över "klassiska" böcker som ska läsas i femte och sjätte klass?",LOC:other,0,35
"Vilka två produkter använder en tiger som symbol?",ENTY:product,3,19
"Hur tillkännages världen till valet av en ny påve?",DESC:manner,2,4
"Hur lång tid tar det för ditt blod att göra en hel resa genom kroppen?",NUM:period,5,45
"Hur föder hönor kycklingar?",DESC:manner,2,4
"Vad är det historiska förhållandet mellan katolska kyrkan och bingo?",DESC:desc,2,3
"Hur namngavs grundämnet kalcium?",DESC:manner,2,4
"Vilken crooner gick med i Andrews Sisters som Pistol Packin Mama?",HUM:ind,1,30
"Vilket pianoföretag hävdar att dess produkt är "De odödligas instrument"?",HUM:gr,1,29
"När ägde Bounty-myteriet rum?",NUM:date,5,39
"Vilken roman inspirerade filmen BladeRunner?",ENTY:cremat,3,9
"Vad är en transistor?",DESC:def,2,2
"Vad är en film med Jude Law i huvudrollen?",ENTY:cremat,3,9
"Vilken Hollywood-hund dog i armarna på Jean Harlow år 1932?",ENTY:animal,3,6
"Vilka är de vanligaste elementen i jordskorpan?",ENTY:substance,3,22
"Hur mycket skulle det kosta att köpa ett partytält på 2 meter, med sidor?",NUM:money,5,41
"Vilken skådespelerska har fått flest Oscar-nomineringar?",HUM:ind,1,30
"Vad är aktier?",DESC:def,2,2
"Vad är gymnofobi?",DESC:def,2,2
"Hur många år tar det för fossiler att bildas?",NUM:count,5,38
"Var är Orinoco?",LOC:other,0,35
"Vad hette "Little Rascals" hunden?",ENTY:animal,3,6
"Vilken stad har Penn's Landing, vid floden Delaware?",LOC:city,0,32
"Vilken Broadway-musikal inspirerades av Cervantes Don Quijote?",ENTY:cremat,3,9
"Vad är ursprunget av ordet katt?",DESC:desc,2,3
"Hur många gisslan dödades i Entebbe-razzian?",NUM:count,5,38
"Hur kan man höja sin IQ?",DESC:manner,2,4
"Vad står INRI för när det används på Jesu kors?",ABBR:exp,4,1
"Vem producerar Spumante?",HUM:gr,1,29
"Vilka tjänar sina pengar på det hårda sättet?",HUM:ind,1,30
"Vem grundade Folkets tempel?",HUM:ind,1,30
"Vilken idrottare tjänar mest pengar på försäljning av sportvaror?",HUM:ind,1,30
"Hur många böjningar finns det på ett vanligt gem?",NUM:count,5,38
"Vem upptäckte el?",HUM:ind,1,30
"Vilken del av din kropp innehåller corpus callosum?",ENTY:body,3,7
"Vem var den första amerikanen i rymden?",HUM:ind,1,30
"Vilka två sydamerikanska länder gränsar inte till Brasilien?",LOC:country,0,33
"Vilket album satte Beatles på omslaget till Time 1967?",ENTY:cremat,3,9
"Vilken dikt innehåller raden ""bli gammal hos mig, det bästa är ännu""?",ENTY:cremat,3,9
"Vad är en tandrotkanal?",DESC:def,2,2
"Vilket krig inträffade Wanna-Go-Home-upploppen efter?",ENTY:event,3,12
"Vilken är den aktivaste flygsäsongen?",NUM:date,5,39
"Vad heter den färgade delen av ögat?",ENTY:body,3,7
"Vad är krokmaskar?",DESC:def,2,2
"Var spelas Rose Bowl?",LOC:other,0,35
"Vilken japansk biltillverkare hade sin största försäljningsandel på hemmamarknaden?",HUM:gr,1,29
"Vem är borgmästaren i Marbella?",HUM:ind,1,30
"Vilken solblästrad, 14 mil bred dal ligger strax norr om Mojaveöknen?",LOC:other,0,35
"Vilket år blev Thatcher premiärminister?",NUM:date,5,39
"Hur många månader tar det månen att kretsa runt jorden?",NUM:count,5,38
"Var är de 49 stegen?",LOC:other,0,35
"Vilket år valdes De Gaulle till Frankrikes president?",NUM:date,5,39
"Vem sjunger temat för "Dawson's Creek" och "Felicity"?",HUM:ind,1,30
"Vem regisserade "Jaws"?",HUM:ind,1,30
"På vilket TV-program kunde Tom Terrific hittas?",ENTY:cremat,3,9
"Vilken indianstam kämpar F-Troop ständigt mot?",HUM:gr,1,29
"Var kom "Indian Pudding" ifrån?",DESC:desc,2,3
"Varför säger vissa klädmärken "Använd ett icke-klor-blekmedel"?",DESC:reason,2,5
"Hur många kolonier var inblandade i den amerikanska revolutionen?",NUM:count,5,38
"Vad heter staden som Maurizio Pellegrin bor i?",LOC:city,0,32
"Var kan jag hitta bildanvisningar för hur man bygger ett mycket enkelt trädhus?",LOC:other,0,35
"Vilket spelbräde visar Irkutsk, Yakutsk och Kamchatka som territorier?",ENTY:sport,3,21
"Vad heter den verkställande direktören för Apricot Computer?",HUM:ind,1,30
"Vad är jobbar Nicholas Cage med?",HUM:title,1,31
"Varför ger hästskor tur?",DESC:reason,2,5
"Vad är 401-K planen?",DESC:def,2,2
"Vad orsakar lunginflammation?",DESC:reason,2,5
"Vilka är de tre vintermånaderna på södra halvklotet?",NUM:date,5,39
"Vad betyder gringo?",DESC:def,2,2
"Vilket land innehåller Afrikas nordligaste punkt?",LOC:country,0,33
"Vilken terapi försöker framkalla "urskriket"?",ENTY:dismed,3,11
"Var ligger Kalahari-öknen?",LOC:other,0,35
"Vilken polisavdelning i Ventura County beslagtog den största kokaintransporten i dess historia?",HUM:gr,1,29
"Vilken stad kallas ibland Gotham?",LOC:city,0,32
"Vad dinglar över tungan från gommen?",ENTY:body,3,7
"Vem skapade Dennis the Menace?",HUM:ind,1,30
"Vilken dummer fick en hedersexamen från Northwestern University?",HUM:ind,1,30
"När publicerades den första Wall Street Journal?",NUM:date,5,39
"Vilka länder har de största skogsområdena?",LOC:country,0,33
"Hur startar jag ett webbaserat företag?",DESC:manner,2,4
"Namnge Alvins bröder.",HUM:ind,1,30
"Vad är Styloidprocessen för Eagle syndrom?",DESC:def,2,2
"Hur dog Jayne Mansfield?",DESC:manner,2,4
"När ägde prins Andrew och Fergies kungliga bröllop rum?",NUM:date,5,39
"Vilken skådespelare sa i A Day at the Races: "Antingen är han död eller så har min klocka stannat"?",HUM:ind,1,30
"Vilken upptäcktsresande fick smeknamnet Iberias pilot?",HUM:ind,1,30
"CNN började sända under vilket år?",NUM:date,5,39
"Vad heter en boll som träffar foul pole?",ENTY:termeq,3,25
"Vad får hamburgare att smaka som hamburgare?",DESC:reason,2,5
"Vilket företag skapade webbläsaren Mosaic?",HUM:gr,1,29
"Vad kallas ritualerna för omskärelsen av ett nyfött barn i judendomen?",ENTY:event,3,12
"Vad var utbildningssystemet på 1960-talet?",ENTY:other,3,17
"Vilken sydamerikansk stad har världens högsta kommersiella landningsfält?",LOC:city,0,32
"Hur kan jag ta reda på vilka städer som har kabelmodemåtkomst?",DESC:manner,2,4
"Vad är Betsy Ross känd för?",DESC:reason,2,5
"Hur många hajarter finns det?",NUM:count,5,38
"Vad är "snoogans"?",DESC:def,2,2
"Hur många människor finns det i världen?",NUM:count,5,38
"Vilka buskar kan planteras som är säkra från rådjur?",ENTY:plant,3,18
"Vilka organisationers kontor bröts in vid Watergate år 1972?",HUM:gr,1,29
"Vad är designen för fartyget Titanic?",DESC:desc,2,3
"Vad står SOS för?",ABBR:exp,4,1
"Namnge en teknik som ofta används för att upptäcka fosterskador?",ENTY:techmeth,3,24
"Vad är det dagliga behovet av folsyra för en blivande mamma?",DESC:desc,2,3
"Vad är "7-minuters cigarett"?",DESC:def,2,2
"Vilka fyra former förekommer guld i?",ENTY:other,3,17
"Vad är arean av vingården Chappellet?",NUM:volsize,5,48
"Hur säger man ordet "qigong" korrekt?",DESC:manner,2,4
"När dog Beethoven?",NUM:date,5,39
"Hur mycket kostar en ny järnvägskolbil?",NUM:money,5,41
"Vilka två europeiska länder gick in i amerikanska självständighetskriget mot britterna?",LOC:country,0,33
"Vad är filmskaparnas samarbete?",DESC:def,2,2
"Vilken rysk kompositörs Preludie i C Sharp Minor gav honom berömmelse och förmögenhet?",HUM:ind,1,30
"Vad orsakade Harry Houdinis död?",DESC:reason,2,5
"Vem var mor till mannen som inte skulle bli kung, hertigen av Windsor?",HUM:ind,1,30
"Hur många varv gör en vanlig LP-skiva på tre minuter?",NUM:count,5,38
"Vad heter det högsta berget i världen?",LOC:mount,0,34
"Var kan jag hitta en recension av Nightmare on Elm Street i en filmjournal?",LOC:other,0,35
"Vad är det långsammaste olympiska simningssättet?",ENTY:techmeth,3,24
"Vad hette den första ryska astronauten som gjorde en rymdpromenad?",HUM:ind,1,30
"Vilken sjukdom överförs av myggan Anopheles?",ENTY:dismed,3,11
"Vilket rom är så "blandbart" att det är en "bar med ett enda märke"?",ENTY:food,3,13
"Hur många sydamerikanska länder har bokstaven Z i sina namn?",NUM:count,5,38
"Vad är innehållet i proposition 98?",DESC:def,2,2
"Var föddes George Washington?",LOC:other,0,35
"Hur många människor på marken dödades från bombningen av Pan Am Flight 103 över Lockerbie, Skottland, 21 december?",NUM:count,5,38
"Vem skrev "To Kill a Mockingbird"?",HUM:ind,1,30
"Vad är paracetamol?",DESC:def,2,2
"Vilka är krafterna och svagheterna i Green Lantern's ring?",DESC:desc,2,3
"Vilken mygga suger blod och överför malaria?",ENTY:animal,3,6
"När byggdes det första stålverket i USA?",NUM:date,5,39
"Vilken diminutiv amerikansk gymnast stal showen vid OS 1984?",HUM:ind,1,30
"Vad är ursprunget till namnet Katie?",DESC:desc,2,3
"Vilka skolor i Washington har vunnit pris för bästa skola?",HUM:gr,1,29
"När upprättades Berlinmuren?",NUM:date,5,39
"Vem är Terrence Malick?",HUM:desc,1,28
"Vilket instrument är Ray Charles mest känd för att spela?",ENTY:instru,3,14
"Vad betyder det latinska stridsropet: Ad arma, ad arma?",DESC:def,2,2
"Vilken är maskoten för Notre Dame University?",ENTY:other,3,17
"Vilket hotell i Las Vegas brann i november, 1980, med förlusten av 84 personers liv?",LOC:other,0,35
"När fick Mount St. Helen senast ett betydande utbrott?",NUM:date,5,39
"CNN är förkortningen för vad?",ABBR:exp,4,1
"När började första världskriget?",NUM:date,5,39
"Hur många fot är det på en famn?",NUM:count,5,38
"Vad är ett Kanada två-öre?",DESC:def,2,2
"Vilken europeisk stad bor Nicois i?",LOC:city,0,32
"Hur kan jag ta reda på vilket år en viss Beanie Baby introducerades?",DESC:manner,2,4
"Vad är den klassiska definitionen av en tragisk hjälte?",DESC:def,2,2
"Till vad är Microsofts Windows 3 skyldig sin framgång?",ENTY:other,3,17
"Vem var Afghanistans president år 1994?",HUM:ind,1,30
"Vilka är andra sätt att få bristningar förutom graviditet, viktminskning, och tyngdlyftning?",ENTY:techmeth,3,24
"Vad åt brontosaurus?",ENTY:food,3,13
"Vilka färger på flaskor kommer bra Rhine-viner i?",ENTY:color,3,8
"Vem var huvudskådespelerskan i filmen "Sleepless in Seattle"?",HUM:ind,1,30
"Vem var USA:s 16:e president?",HUM:ind,1,30
"Vilka är de två sönerna till Ozzie och Harriet Nelson?",HUM:ind,1,30
"Vad är molybden?",DESC:def,2,2
"När infaller Boxing Day?",NUM:date,5,39
"Vilken är den lägsta nivån i det amerikanska rättsväsendet?",ENTY:other,3,17
"När utkämpades slaget vid Somme?",NUM:date,5,39
"Hur många människor dödade Randy Craft?",NUM:count,5,38
"Vilket är Kanadas officiella djur?",ENTY:animal,3,6
"När regisserade Spielberg "Jaws"?",NUM:date,5,39
"Hur stor är den största akita?",NUM:volsize,5,48
"Vilket djur har de största ögonen?",ENTY:animal,3,6
"Vad är Kaliforniens huvudstad?",LOC:city,0,32
"Vem var författaren till boken om datorhackare som heter "The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Spionage"?",HUM:ind,1,30
"Vem var grundaren till Pink Floyd-bandet?",HUM:ind,1,30
"Vilket europeiskt land är hem till den ölproducerande staden Budweis?",LOC:country,0,33
"Hur hittar jag saldot på mitt socialförsäkringskonto?",DESC:manner,2,4
"Vad är historien om alla hjärtans dags-kort?",DESC:desc,2,3
"Var föddes Christopher Columbus?",LOC:other,0,35
"Vad kallar italienarna Florens?",ENTY:termeq,3,25
"Hur kommer man till toppen av Eiffeltornet?",DESC:manner,2,4
"Vad står "PSI" för?",ABBR:exp,4,1
"Vilket hav kallade romarna mare nostrum?",LOC:other,0,35
"Vad är ordet för en satsning innan kort delats ut?",ENTY:termeq,3,25
"Vilket kom först enligt 1 Mosebok 1:2:22 - kycklingen eller ägget?",ENTY:animal,3,6
"Vilken stad bodde Flintstones i?",LOC:city,0,32
"Vad är latin för inkompetent?",ENTY:termeq,3,25
"Vilka kemikalier används vid dödlig injektion?",ENTY:dismed,3,11
"Vilket leksaksföretag är världens främsta tillverkare av kvinnliga kläder?",HUM:gr,1,29
"Vilket brädspel spelar en "wood-pusher" dåligt?",ENTY:sport,3,21
"Vilken Doonesburykaraktär skulle sannolikt förvandlas till en varulv?",HUM:ind,1,30
"Vad är förkortningen för mikro?",ABBR:abb,4,0
"Vilka är de sju artiklarna i konstitutionen?",ENTY:other,3,17
"Vem har vunnit flest Super Bowls?",HUM:gr,1,29
"Vad står NASDAQ för?",ABBR:exp,4,1
"Vad är BPH?",ABBR:exp,4,1
"Vilken är den snabbaste kommersiella bilen som kan köpas i USA?",ENTY:other,3,17
"På vilken arena spelar Miami Dolphins sina hemmamatcher?",LOC:other,0,35
"Vem har den enda talarrollen i "Silent Movie"?",HUM:ind,1,30
"Varför är bajs ibland olika färger?",DESC:reason,2,5
"Vad var Einsteins IQ?",NUM:other,5,43
"Vilken dag attackerades Pearl Harbor år 1942?",NUM:date,5,39
"Vilket tjejnamn är "Teddy" en tillgiven form av?",HUM:ind,1,30
"Vilken stat är John F. Kennedy begravd i?",LOC:state,0,36
"Vilket är det bästa sättet att ta bort tapeter?",ENTY:techmeth,3,24
"Vilken amerikansk stat har ett element namngivet efter sig?",LOC:state,0,36
"Vilket företag presenterar vinnarna i omröstningen om Oscar-utmärkelsen?",HUM:gr,1,29
"Hur började traditionen med bröllopsmarskalk?",DESC:manner,2,4
"Hur många år sedan sjönk fartyget Titanic?",NUM:count,5,38
"Vad är det djupaste området i Arktiska havet?",LOC:other,0,35
"Vilka är Halloweens färger?",ENTY:color,3,8
"Hur görs silkescreening?",DESC:manner,2,4
"Vad är latitud och longitud för El Paso, Texas?",NUM:other,5,43
"Vem gjorde en båt av gopher trä?",HUM:ind,1,30
"Var kan jag hitta en "Fifth Element" skärmsläckare?",LOC:other,0,35
"Vem bosatt i Bloom County gör kaos med en dator?",HUM:ind,1,30
"Hur matchar du ett namn till ett personnummer?",DESC:manner,2,4
"Hur bildas en regnbåge?",DESC:manner,2,4
"Vad är den normala vilopulsen hos en frisk vuxen?",NUM:other,5,43
"Vad är befolkningen i Ohio?",NUM:other,5,43
"Hur många kalorier finns det i en Big Mac?",NUM:count,5,38
"Hazmat står för vad?",DESC:def,2,2
"Vilken varelse skrämmer människor i filmen "Jaws"?",ENTY:animal,3,6
"Vilken roll spelade John Peter Zenger i utvecklingen av tidningen i Amerika?",HUM:ind,1,30
"Vem följde Caesar?",HUM:ind,1,30
"Vilka är de fyra elementen?",ENTY:substance,3,22
"Vem var den första kvinnliga golfaren som tjänade en miljon?",HUM:ind,1,30
"Vilken är den längsta pjäsen på ett schackbräde?",ENTY:other,3,17
"Vad är Answers.coms adress?",LOC:other,0,35
"Var kan jag köpa filmer på videoband online?",LOC:other,0,35
"Vem annonserar för Frito-Lay?",HUM:ind,1,30
"Vem är den ledande konkurrenten för Trans Union Company?",HUM:gr,1,29
"Vilken produkt utmanade Robert Conrad folk att slå av hans axel?",ENTY:product,3,19
"Vem uppfann radion?",HUM:ind,1,30
"Vad motsvarar den amerikanska dollarn 8 pund i Storbritannien?",NUM:count,5,38
"Vilka är de olika metoderna för systemanalys?",ENTY:techmeth,3,24
"Hur diagnostiserar läkare bencancer?",DESC:manner,2,4
"Vem är mannen bakom grisen - mannen som drar i trådarna och talar för Miss Piggy?",HUM:ind,1,30
"Vad är Mississippiflodens hastighet?",NUM:speed,5,46
"Vilka är utvecklingsstadierna för en simmare?",ENTY:other,3,17
"Vilken skådespelare skildrade först James Bond?",HUM:ind,1,30
"Vilket hav är det största i världen?",LOC:other,0,35
"Vem var den första amerikanska poeten som vann Nobelpriset för litteratur 1948?",HUM:ind,1,30
"Vilket år deltog Jack Nicklaus i Professional Golfers Association-turnén?",NUM:date,5,39
"Hur många sonetter skrev Shakespeare?",NUM:count,5,38
"Vad orsakar färger i dina kinder när du rodnar?",DESC:reason,2,5
"Vem vann Nobels fredspris år 1991?",HUM:ind,1,30
"Vilka är de okändas utmanare?",HUM:gr,1,29
"Definiera Pheonix Club?",DESC:def,2,2
"Vilken stad kämpade kristna korsfarare för att återta från muslimerna?",LOC:city,0,32
"Vad betyder "Rupie depreciates"?",DESC:def,2,2
"Vilka spelanordningar kallades "Mississippi-marbles" och "Memphis dominoes"?",ENTY:other,3,17
"Vem var Cleveland Browns första tränare?",HUM:ind,1,30
"Hur framgångsrikt är aromterapi?",DESC:manner,2,4
"Vilken judisk helgdag startade Mellanösternkriget 1973?",ENTY:event,3,12
"Hur fungerar en kopiator?",DESC:manner,2,4
"Vad är Mississippiflodens hastighet?",NUM:speed,5,46
"Vem sa om Super Bowl III 1969: "Vi vinner - jag garanterar det"?",HUM:ind,1,30
"Vad heter Dudley Do-Rights häst?",ENTY:animal,3,6
"Vem förklarade: "Jag tycker om horor och jag kan inte sluta"?",HUM:ind,1,30
"Var kommer choklad ifrån?",LOC:other,0,35
"Vilket TV-program såg en tävlande en gång erkänna att han klipper tånaglarna i duschen?",ENTY:cremat,3,9
"Vilken sovjetisk ledare ägde en Rolls-Royce?",HUM:ind,1,30
"Var kan jag hitta ett ärende om lagen om personer med funktionshinderutbildning från 1991?",LOC:other,0,35
"Vilket krig skötte Florence Nightingale trupperna i?",ENTY:event,3,12
"Vem skrev låten "Stardust"?",HUM:ind,1,30
"Hur många Beatles skivor blev nummer 1?",NUM:count,5,38
"Vem är den enda statsministern i Kanada som tjänade 22 år men inte nödvändigtvis i följd?",HUM:ind,1,30
"Vad är förkortningen av företagsnamnet "General Motors"?",ABBR:abb,4,0
"Vilka berg ligger mellan floderna Arkansas och Missouri?",LOC:mount,0,34
"Vem fick Will Rogers Award år 1989?",HUM:ind,1,30
"Vilken funktion har RAM?",DESC:reason,2,5
"Vilken är den närmaste G2 Spectrum Yellow Dwarf till jorden?",LOC:other,0,35
"Hur många lika vinklar finns det i en likbent triangel?",NUM:count,5,38
"Vad kallas rädslan för kackerlackor?",ENTY:dismed,3,11
"Vilken CBS-såpopera avbröts av bulletinen om John F. Kennedys mördande?",ENTY:cremat,3,9
"Vad är nyttan av en 24-timmarsur istället för en 12-timmarsur?",DESC:desc,2,3
"Vad hette advokaten som representerade Randy Craft?",HUM:ind,1,30
"Vilken USA:s president drömde om att han mördades?",HUM:ind,1,30
"Vilken film vann Lee Marvin 1965 Oscar för bästa skådespelare?",ENTY:cremat,3,9
"Var ligger Baskien?",LOC:other,0,35
"Vilken produkt marknadsför "Mrs. Olsen"?",ENTY:product,3,19
"Vilken tid på dagen dog kejsaren Hirohito?",NUM:date,5,39
"Vad är torris?",DESC:def,2,2
"Vilket är det mest kraftfulla kortet i Euchre?",ENTY:other,3,17
"Vad betyder "intractable plantar keratoma"?",DESC:def,2,2
"Hur många år tog det James Joyce att skriva Ulysses?",NUM:count,5,38
"Vilket skördefel orsakade den irländska hungersnöden?",ENTY:food,3,13
"Vilken sydkoreansk stad betjänas av Kimpo International Airport?",LOC:city,0,32
"Hur många typer av hundsvansar finns det - tre?",NUM:count,5,38
"Vilken är den längsta tv-serien?",ENTY:cremat,3,9
"Vilka rovdjur finns på Antarktis?",ENTY:animal,3,6
"Vad är skillnaden mellan en generator och en omformare?",DESC:desc,2,3
"Hur skapas energi?",DESC:manner,2,4
"Vilken öl annonserade att den hade "tre ringar"?",ENTY:food,3,13
"Vad är mängden amerikanska soldater som fortfarande inte redovisas från Vietnamkriget?",NUM:other,5,43
"Vilket golftillbehör patenterades av George Grant den 12 december?",ENTY:techmeth,3,24
"Vilka är de olika plasttyperna?",ENTY:other,3,17
"Hur är det korrekt att säga "qigong"?",DESC:manner,2,4
"Vad var det högsta berget på jorden innan Mount Everest upptäcktes?",LOC:mount,0,34
"Var var den liguriska republiken?",LOC:other,0,35
"Vilket lands folk är de bästa tv-tittarna?",LOC:country,0,33
